Domain1_Name	Domain1_Accession	Domain2_Name	Domain2_Accession	Count
Actin family	IPR004000	Actin family	IPR004000	111
Actin family	IPR004000	Dystroglycan-type cadherin-like	IPR006644	18
Actin family	IPR004000	other	None	95
Actin family	IPR004000	SH3 domain	IPR001452	25
Actin family	IPR004000	Phox homology	IPR001683	12
Actin family	IPR004000	Pleckstrin homology domain	IPR001849	16
Actin family	IPR004000	Rho GTPase-activating protein domain	IPR000198	46
Actin family	IPR004000	Formin, FH2 domain	IPR015425	14
Actin family	IPR004000	Formin, GTPase-binding domain	IPR010473	9
Actin family	IPR004000	Small GTP-binding domain	IPR005225	3
Actin family	IPR004000	PB1 domain	IPR000270	10
Actin family	IPR004000	Dbl homology (DH) domain	IPR000219	8
Actin family	IPR004000	Calponin homology domain	IPR001715	6
Actin family	IPR004000	Protein kinase domain	IPR000719	18
Actin family	IPR004000	RNA recognition motif domain	IPR000504	7
Actin family	IPR004000	RGS domain	IPR016137	6
Actin family	IPR004000	Zinc finger, LIM-type	IPR001781	7
Actin family	IPR004000	ARF GTPase-activating protein GIT1, C-terminal	IPR022018	20
Actin family	IPR004000	Zinc finger, RanBP2-type	IPR001876	4
Dystroglycan-type cadherin-like	IPR006644	other	None	21
other	None	other	None	37
Dystroglycan-type cadherin-like	IPR006644	SH3 domain	IPR001452	12
Dystroglycan-type cadherin-like	IPR006644	Small GTP-binding domain	IPR005225	17
Dystroglycan-type cadherin-like	IPR006644	RGS domain	IPR016137	7
other	None	RGS domain	IPR016137	9
other	None	Rho GTPase-activating protein domain	IPR000198	11
SH3 domain	IPR001452	SH3 domain	IPR001452	2
SH3 domain	IPR001452	Phox homology	IPR001683	10
Phox homology	IPR001683	other	None	3
SH3 domain	IPR001452	Rho GTPase-activating protein domain	IPR000198	5
PB1 domain	IPR000270	Rho GTPase-activating protein domain	IPR000198	5
Phox homology	IPR001683	Dystroglycan-type cadherin-like	IPR006644	1
other	None	SH3 domain	IPR001452	18
Pleckstrin homology domain	IPR001849	Small GTP-binding domain	IPR005225	22
Phox homology	IPR001683	Calponin homology domain	IPR001715	14
Phox homology	IPR001683	Protein kinase domain	IPR000719	28
