Protein1	Protein1_Accession	Domain1_Name	Domain1_Accession	Protein2	Protein2_Accession	Domain2_Name	Domain2_Accession	Count
act1	P60010	Actin family	IPR004000	act1	P60010	Actin family	IPR004000	23
act1	P60010	Actin family	IPR004000	arp2	P32381	Actin family	IPR004000	7
act1	P60010	Actin family	IPR004000	arp3	P47117	Actin family	IPR004000	24
act1	P60010	Actin family	IPR004000	axl2	P38928	Dystroglycan-type cadherin-like	IPR006644	12
act1	P60010	Actin family	IPR004000	axl2	P38928	other	None	4
act1	P60010	Actin family	IPR004000	bem1	P29366	SH3 domain	IPR001452	14
act1	P60010	Actin family	IPR004000	bem1	P29366	other	None	5
act1	P60010	Actin family	IPR004000	bem3	P32873	Phox homology	IPR001683	1
act1	P60010	Actin family	IPR004000	bem3	P32873	Pleckstrin homology domain	IPR001849	3
act1	P60010	Actin family	IPR004000	bem3	P32873	Rho GTPase-activating protein domain	IPR000198	2
act1	P60010	Actin family	IPR004000	bni1	P41832	Formin, FH2 domain	IPR015425	14
act1	P60010	Actin family	IPR004000	bni1	P41832	Formin, GTPase-binding domain	IPR010473	9
act1	P60010	Actin family	IPR004000	cdc24	P11433	PB1 domain	IPR000270	1
act1	P60010	Actin family	IPR004000	cdc24	P11433	Dbl homology (DH) domain	IPR000219	4
act1	P60010	Actin family	IPR004000	cdc24	P11433	Calponin homology domain	IPR001715	1
act1	P60010	Actin family	IPR004000	nrp1	P32770	other	None	16
act1	P60010	Actin family	IPR004000	nrp1	P32770	RNA recognition motif domain	IPR000504	1
act1	P60010	Actin family	IPR004000	rax1	Q08760	RGS domain	IPR016137	1
act1	P60010	Actin family	IPR004000	rax1	Q08760	other	None	2
act1	P60010	Actin family	IPR004000	rga2	Q06407	Zinc finger, LIM-type	IPR001781	7
act1	P60010	Actin family	IPR004000	rga2	Q06407	other	None	7
act1	P60010	Actin family	IPR004000	rga2	Q06407	Rho GTPase-activating protein domain	IPR000198	7
act1	P60010	Actin family	IPR004000	spa2	P23201	ARF GTPase-activating protein GIT1, C-terminal	IPR022018	8
act1	P60010	Actin family	IPR004000	spa2	P23201	other	None	5
act1	P60010	Actin family	IPR004000	ste5	P32917	other	None	7
arp2	P32381	Actin family	IPR004000	arp2	P32381	Actin family	IPR004000	36
arp2	P32381	Actin family	IPR004000	arp3	P47117	Actin family	IPR004000	10
arp2	P32381	Actin family	IPR004000	axl2	P38928	Dystroglycan-type cadherin-like	IPR006644	1
arp2	P32381	Actin family	IPR004000	bem1	P29366	Phox homology	IPR001683	11
arp2	P32381	Actin family	IPR004000	bem1	P29366	SH3 domain	IPR001452	1
arp2	P32381	Actin family	IPR004000	bem3	P32873	Rho GTPase-activating protein domain	IPR000198	10
arp2	P32381	Actin family	IPR004000	bem3	P32873	Pleckstrin homology domain	IPR001849	4
arp2	P32381	Actin family	IPR004000	cdc24	P11433	Dbl homology (DH) domain	IPR000219	1
arp2	P32381	Actin family	IPR004000	cdc24	P11433	Pleckstrin homology domain	IPR001849	1
arp2	P32381	Actin family	IPR004000	cdc24	P11433	other	None	2
arp2	P32381	Actin family	IPR004000	cdc24	P11433	PB1 domain	IPR000270	1
arp2	P32381	Actin family	IPR004000	cla4	P48562	Pleckstrin homology domain	IPR001849	5
arp2	P32381	Actin family	IPR004000	nrp1	P32770	RNA recognition motif domain	IPR000504	4
arp2	P32381	Actin family	IPR004000	rax1	Q08760	RGS domain	IPR016137	3
arp2	P32381	Actin family	IPR004000	rga2	Q06407	Rho GTPase-activating protein domain	IPR000198	5
arp2	P32381	Actin family	IPR004000	spa2	P23201	ARF GTPase-activating protein GIT1, C-terminal	IPR022018	2
arp2	P32381	Actin family	IPR004000	spa2	P23201	other	None	1
arp3	P47117	Actin family	IPR004000	arp3	P47117	Actin family	IPR004000	11
arp3	P47117	Actin family	IPR004000	axl2	P38928	Dystroglycan-type cadherin-like	IPR006644	5
arp3	P47117	Actin family	IPR004000	bem1	P29366	SH3 domain	IPR001452	10
arp3	P47117	Actin family	IPR004000	bem1	P29366	other	None	2
arp3	P47117	Actin family	IPR004000	bem1	P29366	PB1 domain	IPR000270	4
arp3	P47117	Actin family	IPR004000	bem3	P32873	Pleckstrin homology domain	IPR001849	3
arp3	P47117	Actin family	IPR004000	bem3	P32873	Rho GTPase-activating protein domain	IPR000198	11
arp3	P47117	Actin family	IPR004000	bud1	P13856	Small GTP-binding domain	IPR005225	1
arp3	P47117	Actin family	IPR004000	cdc24	P11433	other	None	2
arp3	P47117	Actin family	IPR004000	cdc24	P11433	PB1 domain	IPR000270	4
arp3	P47117	Actin family	IPR004000	cdc24	P11433	Calponin homology domain	IPR001715	5
arp3	P47117	Actin family	IPR004000	cdc24	P11433	Dbl homology (DH) domain	IPR000219	2
arp3	P47117	Actin family	IPR004000	cla4	P48562	Protein kinase domain	IPR000719	12
arp3	P47117	Actin family	IPR004000	cla4	P48562	other	None	6
arp3	P47117	Actin family	IPR004000	nrp1	P32770	Zinc finger, RanBP2-type	IPR001876	4
arp3	P47117	Actin family	IPR004000	nrp1	P32770	RNA recognition motif domain	IPR000504	2
arp3	P47117	Actin family	IPR004000	rax1	Q08760	RGS domain	IPR016137	2
arp3	P47117	Actin family	IPR004000	rga2	Q06407	Rho GTPase-activating protein domain	IPR000198	11
arp3	P47117	Actin family	IPR004000	spa2	P23201	ARF GTPase-activating protein GIT1, C-terminal	IPR022018	10
arp3	P47117	Actin family	IPR004000	spa2	P23201	other	None	15
arp3	P47117	Actin family	IPR004000	ste5	P32917	other	None	14
axl2	P38928	Dystroglycan-type cadherin-like	IPR006644	axl2	P38928	other	None	1
axl2	P38928	other	None	axl2	P38928	Dystroglycan-type cadherin-like	IPR006644	1
axl2	P38928	Dystroglycan-type cadherin-like	IPR006644	bem1	P29366	other	None	4
axl2	P38928	other	None	bem1	P29366	other	None	2
axl2	P38928	Dystroglycan-type cadherin-like	IPR006644	bem1	P29366	SH3 domain	IPR001452	12
axl2	P38928	Dystroglycan-type cadherin-like	IPR006644	bud1	P13856	Small GTP-binding domain	IPR005225	2
axl2	P38928	Dystroglycan-type cadherin-like	IPR006644	rax1	Q08760	RGS domain	IPR016137	7
axl2	P38928	other	None	rax1	Q08760	RGS domain	IPR016137	4
axl2	P38928	other	None	rga2	Q06407	Rho GTPase-activating protein domain	IPR000198	3
bem1	P29366	SH3 domain	IPR001452	bem1	P29366	SH3 domain	IPR001452	2
bem1	P29366	SH3 domain	IPR001452	bem1	P29366	Phox homology	IPR001683	4
bem1	P29366	Phox homology	IPR001683	bem1	P29366	SH3 domain	IPR001452	3
bem1	P29366	Phox homology	IPR001683	rga2	Q06407	other	None	1
bem1	P29366	SH3 domain	IPR001452	rga2	Q06407	Rho GTPase-activating protein domain	IPR000198	4
bem1	P29366	PB1 domain	IPR000270	rga2	Q06407	Rho GTPase-activating protein domain	IPR000198	5
bem1	P29366	Phox homology	IPR001683	ste5	P32917	other	None	2
