Domain1_Name	Domain1_Accession	Domain2_Name	Domain2_Accession	Count	Occurrences	Average_Interacting_Residues
Actin family	IPR004000	Actin family	IPR004000	222	6	37.0
Actin family	IPR004000	Dystroglycan-type cadherin-like	IPR006644	53	3	17.666666666666668
Actin family	IPR004000	other	None	601	33	18.21212121212121
Actin family	IPR004000	SH3 domain	IPR001452	77	3	25.666666666666668
Actin family	IPR004000	Phox homology	IPR001683	36	4	9.0
Actin family	IPR004000	Pleckstrin homology domain	IPR001849	65	7	9.285714285714286
Actin family	IPR004000	Rho GTPase-activating protein domain	IPR000198	165	6	27.5
Actin family	IPR004000	Formin, FH2 domain	IPR015425	38	3	12.666666666666666
Actin family	IPR004000	Formin, GTPase-binding domain	IPR010473	24	1	24.0
Actin family	IPR004000	Formin, FH3 domain	IPR010472	18	2	9.0
Actin family	IPR004000	Small GTP-binding domain	IPR005225	107	9	11.88888888888889
Actin family	IPR004000	PB1 domain	IPR000270	67	4	16.75
Actin family	IPR004000	Dbl homology (DH) domain	IPR000219	37	4	9.25
Actin family	IPR004000	Calponin homology domain	IPR001715	31	2	15.5
Actin family	IPR004000	Protein kinase domain	IPR000719	126	6	21.0
Actin family	IPR004000	CRIB domain	IPR000095	3	1	3.0
Actin family	IPR004000	RNA recognition motif domain	IPR000504	36	3	12.0
Actin family	IPR004000	RGS domain	IPR016137	40	3	13.333333333333334
Actin family	IPR004000	Zinc finger, LIM-type	IPR001781	28	2	14.0
Actin family	IPR004000	GIT, Spa2 homology (SHD) domain	IPR013724	1	1	1.0
Actin family	IPR004000	ARF GTPase-activating protein GIT1, C-terminal	IPR022018	57	3	19.0
Actin family	IPR004000	Protein Ste5, Fus3-binding domain	IPR021106	7	1	7.0
Actin family	IPR004000	Zinc finger, RanBP2-type	IPR001876	50	2	25.0
Dystroglycan-type cadherin-like	IPR006644	other	None	110	12	9.166666666666666
Dystroglycan-type cadherin-like	IPR006644	Dystroglycan-type cadherin-like	IPR006644	35	1	35.0
other	None	other	None	776	57	13.614035087719298
Dystroglycan-type cadherin-like	IPR006644	PB1 domain	IPR000270	2	1	2.0
other	None	SH3 domain	IPR001452	91	12	7.583333333333333
Dystroglycan-type cadherin-like	IPR006644	SH3 domain	IPR001452	21	1	21.0
other	None	Phox homology	IPR001683	86	16	5.375
Dystroglycan-type cadherin-like	IPR006644	Small GTP-binding domain	IPR005225	41	3	13.666666666666666
other	None	Small GTP-binding domain	IPR005225	309	28	11.035714285714286
Dystroglycan-type cadherin-like	IPR006644	RGS domain	IPR016137	26	1	26.0
other	None	RGS domain	IPR016137	94	10	9.4
Dystroglycan-type cadherin-like	IPR006644	Rho GTPase-activating protein domain	IPR000198	14	2	7.0
other	None	Rho GTPase-activating protein domain	IPR000198	100	14	7.142857142857143
SH3 domain	IPR001452	SH3 domain	IPR001452	37	1	37.0
Phox homology	IPR001683	SH3 domain	IPR001452	30	3	10.0
SH3 domain	IPR001452	Small GTP-binding domain	IPR005225	61	3	20.333333333333332
Phox homology	IPR001683	Small GTP-binding domain	IPR005225	19	3	6.333333333333333
SH3 domain	IPR001452	Rho GTPase-activating protein domain	IPR000198	11	2	5.5
PB1 domain	IPR000270	Rho GTPase-activating protein domain	IPR000198	16	1	16.0
PB1 domain	IPR000270	Protein Ste5, Fus3-binding domain	IPR021106	4	1	4.0
Phox homology	IPR001683	Dystroglycan-type cadherin-like	IPR006644	3	1	3.0
Pleckstrin homology domain	IPR001849	other	None	60	9	6.666666666666667
Phox homology	IPR001683	Phox homology	IPR001683	1	1	1.0
Pleckstrin homology domain	IPR001849	Small GTP-binding domain	IPR005225	45	7	6.428571428571429
Rho GTPase-activating protein domain	IPR000198	Small GTP-binding domain	IPR005225	157	6	26.166666666666668
Pleckstrin homology domain	IPR001849	Dbl homology (DH) domain	IPR000219	10	3	3.3333333333333335
Pleckstrin homology domain	IPR001849	PB1 domain	IPR000270	10	2	5.0
Phox homology	IPR001683	Calponin homology domain	IPR001715	24	2	12.0
Phox homology	IPR001683	Dbl homology (DH) domain	IPR000219	1	1	1.0
Rho GTPase-activating protein domain	IPR000198	Dbl homology (DH) domain	IPR000219	25	3	8.333333333333334
Rho GTPase-activating protein domain	IPR000198	Pleckstrin homology domain	IPR001849	7	1	7.0
other	None	Calponin homology domain	IPR001715	32	8	4.0
Phox homology	IPR001683	Protein kinase domain	IPR000719	53	3	17.666666666666668
other	None	Protein kinase domain	IPR000719	158	12	13.166666666666666
Rho GTPase-activating protein domain	IPR000198	RNA recognition motif domain	IPR000504	31	2	15.5
