Domain Accession	Domain name	Count	Proteins	Accession proteins	N_dl/N_pl / N_dy/N_py	N_d_list/N_p_list	N_d_yeast/N_p_yeast
IPR004000	Actin	2	['ACT1', 'ARP9']	['P60010', 'Q05123']	14.304439746300211	0.023255813953488372	0.00162577593851611
IPR001878	Znf_CCHC	6	['AIR1', 'AIR1', 'AIR1', 'AIR1', 'AIR1', 'MPE1']	['P40507', 'P40507', 'P40507', 'P40507', 'P40507', 'P35728']	18.88186046511628	0.06976744186046512	0.0036949453148093407
IPR006644	Cadg	4	['AXL2', 'AXL2', 'AXL2', 'AXL2']	['P38928', 'P38928', 'P38928', 'P38928']	78.67441860465115	0.046511627906976744	0.0005911912503694946
IPR000270	PB1_dom	2	['BEM1', 'CDC24']	['P29366', 'P11433']	78.67441860465115	0.023255813953488372	0.0002955956251847473
IPR001452	SH3_domain	8	['BEM1', 'BEM1', 'BOI1', 'BOI2', 'HSE1', 'LSB1', 'PIN3', 'SHO1']	['P29366', 'P29366', 'P38041', 'P39969', 'P38753', 'P53281', 'Q06449', 'P40073']	22.478405315614616	0.09302325581395349	0.004138338752586462
IPR001683	PX_dom	2	['BEM1', 'BEM3']	['P29366', 'P32873']	10.489922480620155	0.023255813953488372	0.0022169671888856044
IPR000198	RhoGAP_dom	6	['BEM2', 'BEM3', 'ECM25', 'RGA1', 'RGA2', 'RGD1']	['P39960', 'P32873', 'P32525', 'P39083', 'Q06407', 'P38339']	42.913319238900634	0.06976744186046512	0.00162577593851611
IPR000651	Ras-like_Gua-exchang_fac_N	1	['BEM2']	['P39960']	15.734883720930233	0.011627906976744186	0.0007389890629618681
IPR001849	PH_domain	7	['BEM2', 'BEM3', 'BOI1', 'BOI2', 'CDC24', 'CLA4', 'SKM1']	['P39960', 'P32873', 'P38041', 'P39969', 'P11433', 'P48562', 'Q12469']	17.765191297824458	0.08139534883720931	0.004581732190363582
IPR001895	RASGEF_cat_dom	1	['BEM2']	['P39960']	15.734883720930233	0.011627906976744186	0.0007389890629618681
IPR040144	RAP1GDS1	1	['BEM4']	['P39011']	78.67441860465115	0.011627906976744186	0.00014779781259237365
IPR010472	FH3_dom	1	['BNI1']	['P41832']	78.67441860465115	0.011627906976744186	0.00014779781259237365
IPR010473	GTPase-bd	1	['BNI1']	['P41832']	39.337209302325576	0.011627906976744186	0.0002955956251847473
IPR014767	DAD_dom	1	['BNI1']	['P41832']	39.337209302325576	0.011627906976744186	0.0002955956251847473
IPR015425	FH2_Formin	1	['BNI1']	['P41832']	39.337209302325576	0.011627906976744186	0.0002955956251847473
IPR001660	SAM	2	['BOI1', 'BOI2']	['P38041', 'P39969']	39.337209302325576	0.023255813953488372	0.0005911912503694946
IPR001841	Znf_RING	2	['BRE1', 'FAR1']	['Q07457', 'P21268']	4.370801033591731	0.023255813953488372	0.0053207212533254505
IPR013087	Znf_C2H2_type	1	['BRE1']	['Q07457']	0.7352749402303848	0.011627906976744186	0.015814365947383977
IPR000719	Prot_kinase_dom	6	['CBK1', 'CLA4', 'MPS1', 'SKM1', 'STE20', 'SWE1']	['P53894', 'P48562', 'P54199', 'Q12469', 'Q03497', 'P32944']	4.000394166338195	0.06976744186046512	0.01744014188590009
IPR000961	AGC-kinase_C	1	['CBK1']	['P53894']	6.051878354203935	0.011627906976744186	0.0019213715637008573
IPR002423	Cpn60/GroEL/TCP-1	3	['CCT2', 'CCT6', 'CCT7']	['P39076', 'P39079', 'P42943']	29.502906976744182	0.03488372093023256	0.0011823825007389892
IPR030379	G_SEPTIN_dom	1	['CDC11']	['P32458']	11.239202657807308	0.011627906976744186	0.0010345846881466155
IPR000219	DH-domain	2	['CDC24', 'FUS2']	['P11433', 'Q05670']	26.224806201550386	0.023255813953488372	0.0008867868755542418
IPR001715	CH_dom	2	['CDC24', 'IQG1']	['P11433', 'Q12280']	19.668604651162788	0.023255813953488372	0.0011823825007389892
IPR005225	Small_GTP-bd	6	['CDC42', 'RAS2', 'RHO5', 'RSR1', 'SEC4', 'YPT7']	['P19073', 'P01120', 'P53879', 'P13856', 'P07560', 'P32939']	13.487043189368771	0.06976744186046512	0.005172923440733077
IPR015348	Clathrin_H-chain_linker_core	1	['CHC1']	['P22137']	78.67441860465115	0.011627906976744186	0.00014779781259237365
IPR000095	CRIB_dom	5	['CLA4', 'GIC1', 'GIC2', 'SKM1', 'STE20']	['P48562', 'P38785', 'Q06648', 'Q12469', 'Q03497']	78.67441860465117	0.05813953488372093	0.0007389890629618681
IPR001373	Cullin_N	1	['CUL3']	['P53202']	26.224806201550386	0.011627906976744186	0.0004433934377771209
IPR019559	Cullin_neddylation_domain	1	['CUL3']	['P53202']	26.224806201550386	0.011627906976744186	0.0004433934377771209
IPR027357	DOCKER_dom	1	['DCK1']	['Q06409']	78.67441860465115	0.011627906976744186	0.00014779781259237365
IPR001251	CRAL-TRIO_dom	1	['ECM25']	['P32525']	11.239202657807308	0.011627906976744186	0.0010345846881466155
IPR000261	EH_dom	3	['EDE1', 'EDE1', 'EDE1']	['P34216', 'P34216', 'P34216']	26.22480620155039	0.03488372093023256	0.0013301803133313626
IPR015940	UBA	1	['EDE1']	['P34216']	9.834302325581394	0.011627906976744186	0.0011823825007389892
IPR013809	ENTH	1	['ENT2']	['Q05785']	15.734883720930233	0.011627906976744186	0.0007389890629618681
IPR000297	PPIase_PpiC	1	['ESS1']	['P22696']	78.67441860465115	0.011627906976744186	0.00014779781259237365
IPR001202	WW_dom	4	['ESS1', 'RSP5', 'RSP5', 'RSP5']	['P22696', 'P39940', 'P39940', 'P39940']	34.96640826873385	0.046511627906976744	0.0013301803133313626
IPR046364	Exo70_C	1	['EXO70']	['P19658']	78.67441860465115	0.011627906976744186	0.00014779781259237365
IPR002014	VHS_dom	1	['HSE1']	['P38753']	19.668604651162788	0.011627906976744186	0.0005911912503694946
IPR000593	RasGAP_C	1	['IQG1']	['Q12280']	78.67441860465115	0.011627906976744186	0.00014779781259237365
IPR001936	RasGAP_dom	1	['IQG1']	['Q12280']	19.668604651162788	0.011627906976744186	0.0005911912503694946
IPR000648	Oxysterol-bd	1	['KES1']	['P35844']	19.668604651162788	0.011627906976744186	0.0005911912503694946
IPR000697	WH1/EVH1_dom	1	['LAS17']	['Q12446']	78.67441860465115	0.011627906976744186	0.00014779781259237365
IPR003124	WH2_dom	1	['LAS17']	['Q12446']	26.224806201550386	0.011627906976744186	0.0004433934377771209
IPR014891	DWNN_domain	1	['MPE1']	['P35728']	78.67441860465115	0.011627906976744186	0.00014779781259237365
IPR012965	Msb1/Mug8_dom	1	['MSB1']	['P21339']	78.67441860465115	0.011627906976744186	0.00014779781259237365
IPR039295	MSB2	1	['MSB2']	['P32334']	39.337209302325576	0.011627906976744186	0.0002955956251847473
