Protein1	Protein2	Num Interactions AF2 plDDT70	Num Interactions AF3 plDDT70	Percentage Overlap
Act1	Act1	12	23	0.0
Act1	Arp2	25	7	24.0
Act1	Arp3	34	24	64.70588235294117
Act1	Axl2	0	16	0.0
Act1	Bem3	12	6	0.0
Act1	Cdc28	8	1	0.0
Act1	Cla4	11	0	0.0
Act1	Nrp1	5	17	0.0
Act1	Rax1	31	3	0.0
Act1	Spa2	7	13	0.0
Act1	Ste5	6	7	0.0
Arp2	Arp2	10	36	0.0
Arp2	Arp3	35	10	0.0
Arp2	Axl2	3	1	0.0
Arp2	Bem3	31	14	0.0
Arp2	Cdc28	24	1	0.0
Arp2	Cla4	13	5	0.0
Arp2	Nrp1	5	4	0.0
Arp2	Rax1	27	3	3.7037037037037033
Arp2	Spa2	33	3	0.0
Arp2	Ste5	5	0	0.0
Arp3	Arp3	37	11	0.0
Arp3	Axl2	22	5	0.0
Arp3	Bem3	17	14	0.0
Arp3	Cdc28	18	4	0.0
Arp3	Cla4	4	18	0.0
Arp3	Nrp1	12	6	0.0
Arp3	Rax1	70	2	0.0
Arp3	Spa2	3	25	0.0
Arp3	Ste5	0	14	0.0
Axl2	Axl2	17	2	0.0
Axl2	Rax1	17	11	23.52941176470588
Bem1	Act1	24	19	0.0
Bem1	Arp2	20	12	0.0
Bem1	Arp3	3	16	0.0
Bem1	Axl2	21	18	0.0
Bem1	Bem1	11	9	0.0
Bem1	Bem3	0	10	0.0
Bem1	Bud1	0	0	0.0
Bem1	Cdc28	17	13	0.0
Bem1	Cla4	8	18	0.0
Bem1	Nrp1	0	21	0.0
Bem1	Rax1	3	0	0.0
Bem1	Rdi1	0	1	0.0
Bem1	Rga2	0	10	0.0
Bem1	Rho1	47	9	0.0
Bem1	Ste5	13	2	0.0
Bem3	Cdc28	11	13	0.0
Bem3	Nrp1	6	7	0.0
Bem3	Rax1	0	0	0.0
Bud1	Act1	21	1	0.0
Bud1	Arp2	2	7	0.0
Bud1	Arp3	8	1	0.0
Bud1	Axl2	5	2	0.0
Bud1	Bem3	21	2	0.0
Bud1	Bud1	12	8	25.0
Bud1	Bud3	7	0	0.0
Bud1	Cdc28	19	0	0.0
Bud1	Cla4	1	15	0.0
Bud1	Nrp1	18	16	0.0
Bud1	Rax1	0	0	0.0
Bud1	Rdi1	0	0	0.0
Bud1	Rho1	4	0	0.0
Bud1	Spa2	3	7	0.0
Bud1	Ste5	17	0	0.0
Bud3	Rdi1	0	3	0.0
Bud3	Rho1	47	21	36.17021276595745
Cdc24	Act1	11	6	0.0
Cdc24	Arp2	16	5	0.0
Cdc24	Arp3	14	13	0.0
Cdc24	Axl2	0	0	0.0
Cdc24	Bem1	30	25	70.0
Cdc24	Bud1	30	10	30.0
Cdc24	Cdc24	10	17	0.0
Cdc24	Cdc28	25	6	0.0
Cdc24	Cla4	8	3	0.0
Cdc24	Nrp1	0	1	0.0
Cdc24	Rax1	0	0	0.0
Cdc24	Rdi1	0	3	0.0
Cdc24	Rga2	9	11	0.0
Cdc24	Rho1	69	64	0.0
Cdc24	Ste5	4	1	0.0
Cdc28	Axl2	5	8	0.0
Cdc28	Cdc28	2	31	0.0
Cdc28	Rax1	0	0	0.0
Cdc28	Ste5	25	6	0.0
Cdc42	Act1	2	0	0.0
Cdc42	Arp2	0	0	0.0
Cdc42	Arp3	32	0	0.0
Cdc42	Axl2	17	7	29.411764705882355
Cdc42	Bem1	69	51	66.66666666666666
Cdc42	Bem3	55	20	34.54545454545455
Cdc42	Bud1	24	0	0.0
Cdc42	Bud3	51	47	0.0
Cdc42	Cdc24	70	69	0.0
Cdc42	Cdc28	11	6	0.0
Cdc42	Cdc42	3	10	0.0
Cdc42	Cla4	47	29	53.191489361702125
Cdc42	Nrp1	1	1	0.0
Cdc42	Rax1	19	0	0.0
Cdc42	Rdi1	56	52	0.0
Cdc42	Rga2	48	48	52.083333333333336
Cdc42	Rho1	12	0	0.0
Cdc42	Spa2	6	8	0.0
Cdc42	Ste5	18	0	0.0
Cla4	Axl2	4	4	0.0
Cla4	Cdc28	1	0	0.0
Cla4	Cla4	105	7	0.0
Cla4	Rax1	12	0	0.0
Cla4	Ste5	8	0	0.0
Nrp1	Axl2	4	19	0.0
Nrp1	Cdc28	7	26	0.0
Nrp1	Cla4	0	4	0.0
Nrp1	Nrp1	115	5	0.0
Nrp1	Rax1	0	0	0.0
Nrp1	Ste5	50	0	0.0
Rax1	Rax1	24	0	0.0
Rdi1	Act1	0	5	0.0
Rdi1	Arp2	2	5	0.0
Rdi1	Arp3	11	12	0.0
Rdi1	Axl2	15	6	0.0
Rdi1	Bem3	0	1	0.0
Rdi1	Cdc28	0	5	0.0
Rdi1	Cla4	13	13	0.0
Rdi1	Nrp1	5	11	0.0
Rdi1	Rax1	0	1	0.0
Rdi1	Rdi1	16	0	0.0
Rdi1	Spa2	3	5	0.0
Rdi1	Ste5	8	1	0.0
Rga2	Act1	26	21	0.0
Rga2	Arp2	23	5	0.0
Rga2	Arp3	19	11	0.0
Rga2	Axl2	4	3	0.0
Rga2	Bud1	31	21	67.74193548387096
Rga2	Cdc28	12	8	0.0
Rga2	Nrp1	15	5	0.0
Rga2	Rax1	17	0	0.0
Rga2	Rdi1	28	5	0.0
Rga2	Rho1	46	25	0.0
Rho1	Act1	1	0	0.0
Rho1	Arp2	3	0	0.0
Rho1	Arp3	17	1	0.0
Rho1	Axl2	20	15	30.0
Rho1	Bem3	47	21	31.914893617021278
Rho1	Cdc28	23	0	0.0
Rho1	Cla4	37	4	5.405405405405405
Rho1	Nrp1	0	1	0.0
Rho1	Rax1	24	2	4.166666666666666
Rho1	Rdi1	55	53	90.9090909090909
Rho1	Rho1	28	0	0.0
Rho1	Spa2	0	0	0.0
Rho1	Ste5	17	0	0.0
Spa2	Cdc28	47	2	0.0
Ste5	Axl2	2	0	0.0
Ste5	Rax1	0	4	0.0
Ste5	Ste5	0	0	0.0
