Protein1	Protein2	Num Interactions AF2	Num Interactions AF3	Percentage Overlap	iPTM_AF2	PTM_AF2	iPTM_AF3	PTM_AF3
Act1	Act1	12	23	0.0	0.37	0.65	0.28	0.58
Act1	Arp2	25	7	85.71428571428571	0.71	0.82	0.4	0.62
Act1	Arp3	34	24	91.66666666666666	0.87	0.85	0.64	0.73
Act1	Axl2	0	16	0.0	0.44	0.41	0.23	0.39
Act1	Bem1	24	19	0.0	0.78	0.6	0.59	0.54
Act1	Bem3	12	6	0.0	0.34	0.38	0.44	0.35
Act1	Bud1	21	1	0.0	0.46	0.69	0.13	0.56
Act1	Cdc24	11	6	0.0	0.46	0.56	0.26	0.44
Act1	Cdc28	8	1	0.0	0.2	0.6	0.14	0.56
Act1	Cdc42	2	0	0.0	0.17	0.66	0.15	0.62
Act1	Cla4	11	0	0.0	0.47	0.42	0.24	0.38
Act1	Nrp1	5	17	0.0	0.24	0.43	0.33	0.45
Act1	Rax1	31	3	0.0	0.72	0.79	0.13	0.47
Act1	Rga2	26	21	0.0	0.6	0.45	0.29	0.38
Act1	Spa2	7	13	0.0	0.51	0.34	0.35	0.32
Act1	Ste5	6	7	0.0	0.52	0.52	0.48	0.39
Arp2	Arp2	10	36	0.0	0.19	0.55	0.43	0.66
Arp2	Arp3	35	10	0.0	0.59	0.72	0.39	0.6
Arp2	Axl2	3	1	0.0	0.39	0.41	0.27	0.39
Arp2	Bem1	20	12	0.0	0.62	0.54	0.27	0.44
Arp2	Bem3	31	14	0.0	0.85	0.55	0.27	0.35
Arp2	Bud1	2	7	0.0	0.3	0.63	0.17	0.55
Arp2	Cdc24	16	5	0.0	0.25	0.49	0.4	0.44
Arp2	Cdc28	24	1	0.0	0.58	0.76	0.13	0.54
Arp2	Cla4	13	5	0.0	0.36	0.4	0.23	0.39
Arp2	Nrp1	5	4	0.0	0.26	0.44	0.28	0.4
Arp2	Rax1	27	3	33.33333333333333	0.45	0.61	0.24	0.49
Arp2	Rga2	23	5	0.0	0.62	0.45	0.3	0.37
Arp2	Spa2	33	3	0.0	0.59	0.37	0.24	0.33
Arp2	Ste5	5	0	0.0	0.48	0.41	0.35	0.38
Arp3	Arp3	37	11	0.0	0.65	0.75	0.16	0.49
Arp3	Axl2	22	5	0.0	0.75	0.62	0.34	0.39
Arp3	Bem1	3	16	0.0	0.26	0.45	0.38	0.46
Arp3	Bem3	17	14	0.0	0.44	0.4	0.49	0.4
Arp3	Bud1	8	1	0.0	0.48	0.68	0.2	0.56
Arp3	Cdc24	14	13	0.0	0.24	0.48	0.23	0.43
Arp3	Cdc28	18	4	0.0	0.21	0.56	0.11	0.53
Arp3	Cla4	4	18	0.0	0.26	0.39	0.57	0.4
Arp3	Nrp1	12	6	0.0	0.38	0.42	0.3	0.42
Arp3	Rax1	70	2	0.0	0.15	0.48	0.15	0.47
Arp3	Rga2	19	11	0.0	0.42	0.37	0.42	0.41
Arp3	Spa2	3	25	0.0	0.37	0.34	0.59	0.34
Arp3	Ste5	0	14	0.0	0.5	0.4	0.71	0.42
Axl2	Axl2	17	2	0.0	0.18	0.35	0.17	0.31
Axl2	Bem1	21	18	0.0	0.36	0.42	0.22	0.34
Axl2	Bud1	5	2	0.0	0.42	0.43	0.26	0.38
Axl2	Cdc24	0	0	0.0	0.23	0.39	0.19	0.38
Axl2	Rax1	17	11	36.36363636363637	0.6	0.56	0.37	0.37
Axl2	Rga2	4	3	0.0	0.28	0.35	0.18	0.31
Bem1	Bem1	11	9	0.0	0.17	0.26	0.22	0.28
Bem1	Bud1	0	0	0.0	0.38	0.38	0.29	0.31
Bem1	Rga2	0	10	0.0	0.31	0.29	0.23	0.27
Bem1	Ste5	13	2	0.0	0.37	0.42	0.33	0.36
Bem3	Bem1	0	10	0.0	0.26	0.3	0.27	0.29
Bem3	Bud1	21	2	0.0	0.62	0.39	0.29	0.31
Bem3	Cdc28	11	13	0.0	0.67	0.35	0.22	0.31
Bem3	Nrp1	6	7	0.0	0.44	0.35	0.22	0.32
Bem3	Rax1	0	0	0.0	0.32	0.35	0.19	0.32
