Protein1	Protein2	Num Interactions AF2	Num Interactions AF3	Percentage Overlap	iPTM_AF2	PTM_AF2	iPTM_AF3	PTM_AF3
Act1	Act1	20	48	0.0	0.37	0.65	0.28	0.58
Act1	Arp2	44	35	80.0	0.71	0.82	0.4	0.62
Act1	Arp3	52	32	90.625	0.87	0.85	0.64	0.73
Act1	Axl2	5	35	0.0	0.44	0.41	0.23	0.39
Act1	Bem1	36	47	0.0	0.78	0.6	0.59	0.54
Act1	Bem3	40	57	0.0	0.34	0.38	0.44	0.35
Act1	Bud1	32	12	0.0	0.46	0.69	0.13	0.56
Act1	Cdc24	34	35	0.0	0.46	0.56	0.26	0.44
Act1	Cdc28	29	14	0.0	0.2	0.6	0.14	0.56
Act1	Cdc42	40	15	0.0	0.17	0.66	0.15	0.62
Act1	Cla4	43	19	0.0	0.47	0.42	0.24	0.38
Act1	Nrp1	42	39	0.0	0.24	0.43	0.33	0.45
Act1	Rax1	31	29	0.0	0.72	0.79	0.13	0.47
Act1	Rga2	42	92	0.0	0.6	0.45	0.29	0.38
Act1	Spa2	24	50	2.0	0.51	0.34	0.35	0.32
Act1	Ste5	50	35	0.0	0.52	0.52	0.48	0.39
Arp2	Arp2	20	53	0.0	0.19	0.55	0.43	0.66
Arp2	Arp3	56	31	6.451612903225806	0.59	0.72	0.39	0.6
Arp2	Axl2	14	29	0.0	0.39	0.41	0.27	0.39
Arp2	Bem1	30	54	0.0	0.62	0.54	0.27	0.44
Arp2	Bem3	40	43	0.0	0.85	0.55	0.27	0.35
Arp2	Bud1	19	23	0.0	0.3	0.63	0.17	0.55
Arp2	Cdc24	51	56	0.0	0.25	0.49	0.4	0.44
Arp2	Cdc28	28	17	0.0	0.58	0.76	0.13	0.54
Arp2	Cla4	67	46	0.0	0.36	0.4	0.23	0.39
Arp2	Nrp1	38	47	4.25531914893617	0.26	0.44	0.28	0.4
Arp2	Rax1	41	33	69.6969696969697	0.45	0.61	0.24	0.49
Arp2	Rga2	34	38	0.0	0.62	0.45	0.3	0.37
Arp2	Spa2	63	36	0.0	0.59	0.37	0.24	0.33
Arp2	Ste5	12	32	0.0	0.48	0.41	0.35	0.38
Arp3	Arp3	37	23	0.0	0.65	0.75	0.16	0.49
Arp3	Axl2	26	31	0.0	0.75	0.62	0.34	0.39
Arp3	Bem1	36	67	0.0	0.26	0.45	0.38	0.46
Arp3	Bem3	67	34	0.0	0.44	0.4	0.49	0.4
Arp3	Bud1	40	14	0.0	0.48	0.68	0.2	0.56
Arp3	Cdc24	124	79	0.0	0.24	0.48	0.23	0.43
Arp3	Cdc28	32	28	0.0	0.21	0.56	0.11	0.53
Arp3	Cla4	38	73	0.0	0.26	0.39	0.57	0.4
Arp3	Nrp1	54	39	41.02564102564102	0.38	0.42	0.3	0.42
Arp3	Rax1	138	16	0.0	0.15	0.48	0.15	0.47
Arp3	Rga2	63	47	0.0	0.42	0.37	0.42	0.41
Arp3	Spa2	54	71	0.0	0.37	0.34	0.59	0.34
Arp3	Ste5	25	40	0.0	0.5	0.4	0.71	0.42
Axl2	Axl2	25	68	0.0	0.18	0.35	0.17	0.31
Axl2	Bem1	43	54	0.0	0.36	0.42	0.22	0.34
Axl2	Bud1	27	12	0.0	0.42	0.43	0.26	0.38
Axl2	Cdc24	0	11	0.0	0.23	0.39	0.19	0.38
Axl2	Rax1	21	45	35.55555555555556	0.6	0.56	0.37	0.37
