Domain Accession	Domain name	Count	Proteins	Accession proteins
IPR000366	GPCR fungal pheromone mating factor, STE2	1	['STE2']	['D6VTK4']
IPR020828	Glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain	3	['TDH2', 'TDH3', 'TDH1']	['P00358', 'P00359', 'P00360']
IPR020829	Glyceraldehyde 3-phosphate dehydrogenase, catalytic domain	3	['TDH2', 'TDH3', 'TDH1']	['P00358', 'P00359', 'P00360']
IPR023616	Cytochrome c oxidase-like, subunit I domain	5	['COX1', 'AI3', 'AI4', 'AI5_ALPHA', 'AI2']	['P00401', 'P03877', 'P03878', 'Q9ZZX1', 'P03876']
IPR004203	Cytochrome c oxidase subunit IV family	3	['COX5A', 'COX5B', 'MTC3']	['P00424', 'P00425', 'P53077']
IPR002016	Haem peroxidase	1	['CCP1']	['P00431']
IPR015793	Pyruvate kinase, barrel	2	['CDC19', 'PYK2']	['P00549', 'P52489']
IPR015795	Pyruvate kinase, C-terminal	2	['CDC19', 'PYK2']	['P00549', 'P52489']
IPR000194	ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain	5	['ATP2', 'VMA1', 'VMA1', 'VMA2', 'ATP1']	['P00830', 'P17255', 'P17255', 'P16140', 'P07251']
IPR004100	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain	4	['ATP2', 'VMA1', 'VMA2', 'ATP1']	['P00830', 'P17255', 'P16140', 'P07251']
IPR001721	Threonine dehydratase, ACT-like domain	2	['ILV1', 'ILV1']	['P00927', 'P00927']
IPR001926	Tryptophan synthase beta chain-like, PALP domain	9	['ILV1', 'CYS4', 'SRY1', 'TRP5', 'CHA1', 'MCY1', '[]', 'SDL1', 'THR4']	['P00927', 'P32582', 'P36007', 'P00931', 'P25379', 'P53206', 'P0CF21', 'P0CF22', 'P16120']
IPR006221	Anthranilate synthase/para-aminobenzoate synthase like domain	2	['TRP3', 'ABZ1']	['P00937', 'P37254']
IPR013798	Indole-3-glycerol phosphate synthase domain	1	['TRP3']	['P00937']
IPR015413	Methionyl/Leucyl tRNA synthetase	2	['MES1', 'MSM1']	['P00958', 'P22438']
IPR018285	Methionyl-tRNA synthetase, N-terminal heteromerisation domain	1	['MES1']	['P00958']
IPR041872	Methionyl-tRNA synthetase, anticodon-binding domain	1	['MES1']	['P00958']
