	Domain name	Count	Proteins
IPR020828	['Glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain']	3	['TDH2', 'TDH3', 'TDH1']
IPR020829	['Glyceraldehyde 3-phosphate dehydrogenase, catalytic domain']	3	['TDH2', 'TDH3', 'TDH1']
IPR023616	['Cytochrome c oxidase-like, subunit I domain']	5	['COX1', 'AI3', 'AI4', 'AI5_ALPHA', 'AI2']
IPR002016	['Haem peroxidase']	1	['CCP1']
IPR015793	['Pyruvate kinase, barrel']	2	['CDC19', 'PYK2']
IPR015795	['Pyruvate kinase, C-terminal']	2	['CDC19', 'PYK2']
IPR000194	['ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain']	5	['ATP2', 'VMA1', 'VMA1', 'VMA2', 'ATP1']
IPR004100	['ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain']	4	['ATP2', 'VMA1', 'VMA2', 'ATP1']
IPR001721	['Threonine dehydratase, ACT-like domain']	2	['ILV1', 'ILV1']
IPR001926	['Tryptophan synthase beta chain-like, PALP domain']	9	['ILV1', 'CYS4', 'SRY1', 'TRP5', 'CHA1', 'MCY1', 'THR4', '[]', 'SDL1']
IPR006221	['Anthranilate synthase/para-aminobenzoate synthase like domain']	2	['TRP3', 'ABZ1']
IPR013798	['Indole-3-glycerol phosphate synthase domain']	1	['TRP3']
IPR015413	['Methionyl/Leucyl tRNA synthetase']	2	['MES1', 'MSM1']
IPR018285	['Methionyl-tRNA synthetase, N-terminal heteromerisation domain']	1	['MES1']
IPR041872	['Methionyl-tRNA synthetase, anticodon-binding domain']	1	['MES1']
IPR005225	['Small GTP-binding protein domain']	35	['RAS2', 'RHO1', 'YPT7', 'ARL3', 'RAS1', 'RSR1', 'ARF2', 'YPT1', 'SEC4', 'CDC42', 'ARL1', 'YPT10', 'TEM1', 'YPT32', 'RHO3', 'YPT6', 'RHO2', 'SAR1', 'RHB1', 'GSP1', 'YPT52', 'YPT31', 'RBG1', 'ARF1', 'VPS21', 'ARF3', 'YPT11', 'RHO5', 'RHO4', 'MSS1', 'YPT53', 'RBG2', 'MTG2', 'GSP2', 'CIN4']
