Domain Accession	Domain name	Count	Proteins	Accession proteins	Enrichment Score	Ratio in Protein Set	Ratio in Yeast Set	Hypergeometric p-value
IPR004000	Actin	5	['Act1', 'Arp10', 'Arp2', 'Arp3', 'Arp9']	['P60010', 'Q04549', 'P32381', 'P47117', 'Q05123']	17.307534807534804	0.022522522522522518	0.001301313143262747	4.851343169276092e-06
IPR012860	Afi1_N	1	['Afi1']	['Q99222']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR001878	Znf_CCHC	6	['Air1', 'Air1', 'Air1', 'Air1', 'Air1', 'Mpe1']	['P40507', 'P40507', 'P40507', 'P40507', 'P40507', 'P35728']	9.13837837837838	0.027027027027027032	0.0029575298710516978	3.5744314400217654e-05
IPR005225	Small_GTP-bd	13	['Arf3', 'Arp1', 'Cdc42', 'Ras1', 'Ras2', 'Rho1', 'Rho2', 'Rho3', 'Rho4', 'Rho5', 'Rsr1', 'Sec4', 'Ypt7']	['P40994', 'Q02804', 'P19073', 'P01119', 'P01120', 'P06780', 'P06781', 'Q00245', 'Q00246', 'P53879', 'P13856', 'P07560', 'P32939']	14.142728442728446	0.058558558558558564	0.0041405418194723756	1.7655190753334998e-12
IPR031313	Sin1_PH_dom	1	['Avo1']	['Q08236']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR031567	CRIM_dom	1	['Avo1']	['Q08236']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR006644	Cadg	4	['Axl2', 'Axl2', 'Axl2', 'Axl2']	['P38928', 'P38928', 'P38928', 'P38928']	38.07657657657658	0.018018018018018014	0.0004732047793682716	4.6331554930745173e-07
IPR000198	RhoGAP_dom	9	['Bag7', 'Bem2', 'Bem3', 'Ecm25', 'Rga1', 'Rga2', 'Rgd1', 'Sac7', 'Yhr182w']	['Q12128', 'P39960', 'P32873', 'P32525', 'P39083', 'Q06407', 'P38339', 'P17121', 'P38870']	31.153562653562652	0.040540540540540536	0.001301313143262747	2.6607507093268704e-13
IPR000719	Prot_kinase_dom	19	['Bck1', 'Bud32', 'Cbk1', 'Cdc28', 'Cla4', 'Fus3', 'Gin4', 'Kin1', 'Mps1', 'Pho85', 'Pkc1', 'Skm1', 'Slt2', 'Smk1', 'Snf1', 'Ste11', 'Ste20', 'Ste7', 'Swe1']	['Q01389', 'P53323', 'P53894', 'P00546', 'P48562', 'P16892', 'Q12263', 'P13185', 'P54199', 'P17157', 'P24583', 'Q12469', 'Q00772', 'P41808', 'P06782', 'P23561', 'Q03497', 'P06784', 'P32944']	6.1309741945335166	0.08558558558558559	0.013959540991364013	1.7809955633404744e-10
IPR000270	PB1_dom	2	['Bem1', 'Cdc24']	['P29366', 'P11433']	38.07657657657658	0.009009009009009007	0.0002366023896841358	0.0006867124019559398
