Domain Accession	Domain name	Count	Proteins	Accession proteins	N_dl/N_pl / N_dy/N_py	N_d_list/N_p_list	N_d_yeast/N_p_yeast
IPR001650	Helicase_C-like	1	['Sub2']	['Q07478']	0.33455300632911394	0.00390625	0.011676027194797517
IPR011545	DEAD/DEAH_box_helicase_dom	1	['Sub2']	['Q07478']	0.4556842672413793	0.00390625	0.008572273
IPR003439	ABC_transporter-like_ATP-bd	1	['Pat1']	['P34230']	0.4986733490566038	0.00390625	0.007833284
IPR003593	AAA+_ATPase	3	['Dyn1', 'Dyn1', 'Dyn1']	['P36022', 'P36022', 'P36022']	1.2998206967213115	0.01171875	0.009015667
IPR004843	Calcineurin-like_PHP_ApaH	1	['Glc7']	['P32598']	1.32	0.00390625	0.002955956
IPR014014	RNA_helicase_DEAD_Q_motif	1	['Sub2']	['Q07478']	1.32	0.00390625	0.002955956
IPR011527	ABC1_TM_dom	1	['Pat1']	['P34230']	1.3910361842105263	0.00390625	0.002808158
IPR001357	BRCT_dom	1	['Chs5']	['Q12114']	1.55	0.00390625	0.002512563
IPR000182	GNAT_dom	1	['Elp3']	['Q02908']	1.7619791666666667	0.00390625	0.002216967
IPR006186	Ser/Thr-sp_prot-phosphatase	1	['Glc7']	['P32598']	2.2024739583333335	0.00390625	0.001773574
IPR000504	RRM_dom	9	['Nab3', 'Nop13', 'Nop13', 'Nrd1', 'Nrp1', 'Pub1', 'Pub1', 'Pub1', 'Whi3']	['P38996', 'P53883', 'P53883', 'P53617', 'P32770', 'P32588', 'P32588', 'P32588', 'P34761']	2.38	0.03515625	0.014779781259237363
IPR001763	Rhodanese-like_dom	1	['Uba4']	['P38820']	2.4026988636363638	0.00390625	0.001625776
IPR013087	Znf_C2H2_type	10	['Bre1', 'Fzf1', 'Fzf1', 'Fzf1', 'Fzf1', 'Fzf1', 'Mig2', 'Mig2', 'Mig3', 'Mig3']	['Q07457', 'P32805', 'P32805', 'P32805', 'P32805', 'P32805', 'P53035', 'P53035', 'P39943', 'P39943']	2.470064252336449	0.0390625	0.015814365947383977
IPR001623	DnaJ_domain	2	['Sis1', 'Ydj1']	['P25294', 'P25491']	2.517113095238095	0.0078125	0.003103754
IPR009571	SUR7/Rim9-like_fungi	1	['Sur7']	['P54003']	2.64	0.00390625	0.001477978
IPR001841	Znf_RING	4	['Bre1', 'Dma1', 'Dma2', 'Far1']	['Q07457', 'P38823', 'P53924', 'P21268']	2.9366319444444446	0.015625	0.005320721
IPR000403	PI3/4_kinase_cat_dom	1	['Tor2']	['P32600']	2.9366319444444446	0.00390625	0.00133018
IPR000594	ThiF_NAD_FAD-bd	1	['Uba4']	['P38820']	2.9366319444444446	0.00390625	0.00133018
IPR000253	FHA_dom	2	['Dma1', 'Dma2']	['P38823', 'P53924']	3.3037109374999996	0.0078125	0.002364765
IPR001487	Bromodomain	2	['Rsc2', 'Rsc2']	['Q06488', 'Q06488']	3.3037109374999996	0.0078125	0.002364765
IPR011765	Pept_M16_N	1	['Axl1']	['P40851']	3.3037109374999996	0.00390625	0.001182383
IPR015940	UBA	1	['Ede1']	['P34216']	3.3037109374999996	0.00390625	0.001182383
IPR001683	PX_dom	2	['Bem1', 'Bem3']	['P29366', 'P32873']	3.5239583333333333	0.0078125	0.002216967
IPR000008	C2_dom	3	['Bud2', 'Pkc1', 'Rsp5']	['P33314', 'P24583', 'P39940']	3.6040482954545454	0.01171875	0.003251552
IPR004014	ATPase_P-typ_cation-transptr_N	1	['Pmr1']	['P13586']	3.775669642857143	0.00390625	0.001034585
IPR001594	Palmitoyltrfase_DHHC	1	['Swf1']	['Q04629']	3.775669642857143	0.00390625	0.001034585
IPR000961	AGC-kinase_C	2	['Cbk1', 'Pkc1']	['P53894', 'P24583']	4.066105769230769	0.0078125	0.001921372
IPR000719	Prot_kinase_dom	19	['Bck1', 'Bud32', 'Cbk1', 'Cdc28', 'Cla4', 'Fus3', 'Gin4', 'Kin1', 'Mps1', 'Pho85', 'Pkc1', 'Skm1', 'Slt2', 'Smk1', 'Snf1', 'Ste11', 'Ste20', 'Ste7', 'Swe1']	['Q01389', 'P53323', 'P53894', 'P00546', 'P48562', 'P16892', 'Q12263', 'P13185', 'P54199', 'P17157', 'P24583', 'Q12469', 'Q00772', 'P41808', 'P06782', 'P23561', 'Q03497', 'P06784', 'P32944']	4.255627648305085	0.07421875	0.017440142
IPR000591	DEP_dom	1	['Rom2']	['P51862']	4.404947916666667	0.00390625	0.000886787
IPR007484	Peptidase_M28	1	['Vps70']	['P47161']	4.404947916666667	0.00390625	0.000886787
IPR000727	T_SNARE_dom	3	['Sec9', 'Sec9', 'Spo20']	['P40357', 'P40357', 'Q04359']	4.66	0.01171875	0.002512563
IPR000195	Rab-GAP-TBC_dom	2	['Msb3', 'Msb4']	['P48566', 'Q12317']	4.8053977272727275	0.0078125	0.001625776
IPR044492	P_typ_ATPase_HD_dom	3	['Dnf1', 'Dnf2', 'Pmr1']	['P32660', 'Q12675', 'P13586']	5.29	0.01171875	0.002216967
IPR006068	ATPase_P-typ_cation-transptr_C	1	['Pmr1']	['P13586']	5.29	0.00390625	0.000738989
IPR001025	BAH_dom	1	['Rsc2']	['Q06488']	5.29	0.00390625	0.000738989
IPR000569	HECT_dom	1	['Rsp5']	['P39940']	5.29	0.00390625	0.000738989
IPR014009	PIK_FAT	1	['Tor2']	['P32600']	5.29	0.00390625	0.000738989
IPR001305	HSP_DnaJ_Cys-rich_dom	1	['Ydj1']	['P25491']	5.29	0.00390625	0.000738989
IPR001878	Znf_CCHC	6	['Air1', 'Air1', 'Air1', 'Air1', 'Air1', 'Mpe1']	['P40507', 'P40507', 'P40507', 'P40507', 'P40507', 'P35728']	6.343125000000001	0.0234375	0.003694945
IPR001715	CH_dom	2	['Cdc24', 'Iqg1']	['P11433', 'Q12280']	6.607421874999999	0.0078125	0.001182383
IPR015374	ChAPs	1	['Bud7']	['Q08754']	6.607421874999999	0.00390625	0.000591191
IPR031675	STPPase_N	1	['Glc7']	['P32598']	6.607421874999999	0.00390625	0.000591191
IPR002014	VHS_dom	1	['Hse1']	['P38753']	6.607421874999999	0.00390625	0.000591191
IPR000300	IPPc	1	['Inp54']	['Q08227']	6.607421874999999	0.00390625	0.000591191
IPR024977	Apc4-like_WD40_dom	1	['Pwp2']	['P25635']	6.607421874999999	0.00390625	0.000591191
IPR001180	CNH_dom	1	['Rom2']	['P51862']	6.607421874999999	0.00390625	0.000591191
IPR002889	WSC_carb-bd	1	['Slg1']	['P54867']	6.607421874999999	0.00390625	0.000591191
IPR046868	BAR_4	1	['Slm1']	['P40485']	6.607421874999999	0.00390625	0.000591191
IPR003151	PIK-rel_kinase_FAT	1	['Tor2']	['P32600']	6.607421874999999	0.00390625	0.000591191
IPR003152	FATC_dom	1	['Tor2']	['P32600']	6.607421874999999	0.00390625	0.000591191
IPR002048	EF_hand_dom	5	['Mlc1', 'Mlc1', 'Mlc2', 'Pef1', 'Pef1']	['P53141', 'P53141', 'Q06580', 'P53238', 'P53238']	6.955180921052631	0.01953125	0.002808158
IPR000717	PCI_dom	4	['Pci8', 'Rpg1', 'Thp1', 'Thp3']	['P40512', 'P38249', 'Q08231', 'Q12049']	7.551339285714286	0.015625	0.002069169
IPR030379	G_SEPTIN_dom	2	['Cdc11', 'Cdc12']	['P32458', 'P32468']	7.551339285714286	0.0078125	0.001034585
IPR001251	CRAL-TRIO_dom	2	['Ecm25', 'Sfh5']	['P32525', 'P47008']	7.551339285714286	0.0078125	0.001034585
IPR006671	Cyclin_N	5	['Cln2', 'Cln3', 'Pcl1', 'Pcl2', 'Pcl9']	['P20438', 'P13365', 'P24867', 'P25693', 'Q12477']	8.26	0.01953125	0.002364765
IPR001752	Kinesin_motor_dom	2	['Kip3', 'Smy1']	['P53086', 'P32364']	8.809895833333334	0.0078125	0.000886787
IPR002939	DnaJ_C	2	['Sis1', 'Ydj1']	['P25294', 'P25491']	8.809895833333334	0.0078125	0.000886787
IPR001373	Cullin_N	1	['Cul3']	['P53202']	8.809895833333334	0.00390625	0.000443393
IPR019559	Cullin_neddylation_domain	1	['Cul3']	['P53202']	8.809895833333334	0.00390625	0.000443393
IPR006638	Elp3/MiaA/NifB-like_rSAM	1	['Elp3']	['Q02908']	8.809895833333334	0.00390625	0.000443393
IPR002710	Dilute_dom	1	['Myo2']	['P19524']	8.809895833333334	0.00390625	0.000443393
IPR006569	CID_dom	1	['Nrd1']	['P53617']	8.809895833333334	0.00390625	0.000443393
IPR007148	SSU_processome_Utp12	1	['Pwp2']	['P25635']	8.809895833333334	0.00390625	0.000443393
IPR016137	RGS	1	['Rax1']	['Q08760']	8.809895833333334	0.00390625	0.000443393
IPR004148	BAR_dom	1	['Rvs161']	['P25343']	8.809895833333334	0.00390625	0.000443393
IPR007365	TFR-like_dimer_dom	1	['Vps70']	['P47161']	8.809895833333334	0.00390625	0.000443393
IPR005225	Small_GTP-bd	13	['Arf3', 'Arp1', 'Cdc42', 'Ras1', 'Ras2', 'Rho1', 'Rho2', 'Rho3', 'Rho4', 'Rho5', 'Rsr1', 'Sec4', 'Ypt7']	['P40994', 'Q02804', 'P19073', 'P01119', 'P01120', 'P06780', 'P06781', 'Q00245', 'Q00246', 'P53879', 'P13856', 'P07560', 'P32939']	9.816741071428572	0.05078125	0.005172923
IPR002423	Cpn60/GroEL/TCP-1	3	['Cct2', 'Cct6', 'Cct7']	['P39076', 'P39079', 'P42943']	9.911132812499998	0.01171875	0.001182383
IPR001849	PH_domain	12	['Bem2', 'Bem3', 'Boi1', 'Boi2', 'Bud4', 'Cdc24', 'Cla4', 'Osh2', 'Osh3', 'Skm1', 'Slm1', 'Swh1']	['P39960', 'P32873', 'P38041', 'P39969', 'P47136', 'P11433', 'P48562', 'Q12451', 'P38713', 'Q12469', 'P40485', 'P35845']	10.23084677419355	0.046875	0.004581732
IPR032630	P_typ_ATPase_c	2	['Dnf1', 'Dnf2']	['P32660', 'Q12675']	10.57	0.0078125	0.000738989
IPR032631	P-type_ATPase_N	2	['Dnf1', 'Dnf2']	['P32660', 'Q12675']	10.57	0.0078125	0.000738989
IPR013809	ENTH	2	['Ent1', 'Ent2']	['Q12518', 'Q05785']	10.57	0.0078125	0.000738989
IPR003594	HATPase_dom	2	['Hsc82', 'Hsp82']	['P15108', 'P02829']	10.57	0.0078125	0.000738989
IPR003163	Tscrpt_reg_HTH_APSES-type	2	['Mbp1', 'Swi4']	['P39678', 'P25302']	10.57	0.0078125	0.000738989
IPR002108	ADF-H	2	['Twf1', 'Twf1']	['P53250', 'P53250']	10.57	0.0078125	0.000738989
IPR001202	WW_dom	4	['Ess1', 'Rsp5', 'Rsp5', 'Rsp5']	['P22696', 'P39940', 'P39940', 'P39940']	11.746527777777779	0.015625	0.00133018
IPR004000	Actin	5	['Act1', 'Arp10', 'Arp2', 'Arp3', 'Arp9']	['P60010', 'Q04549', 'P32381', 'P47117', 'Q05123']	12.013494318181818	0.01953125	0.001625776
