protein1	protein2	Ranking Score	iPTM	PTM	has_clash	Fraction Disordered
act1	act1	0.34	0.28	0.58	0.0	0.0
act1	arp2	0.45	0.4	0.62	0.0	0.0
act1	arp3	0.69	0.64	0.73	0.0	0.05
act1	axl2	0.43	0.23	0.39	0.0	0.33
act1	bem1	0.68	0.59	0.54	0.0	0.2
act1	bem3	0.61	0.44	0.35	0.0	0.39
act1	bni1	0.82	0.7	0.41	0.0	0.37
act1	bud1	0.29	0.13	0.56	0.0	0.15
bud3	act1	0.54	0.31	0.4	0.0	0.42
act1	cdc24	0.38	0.26	0.44	0.0	0.18
act1	cdc28	0.22	0.14	0.56	0.0	0.0
act1	cdc42	0.25	0.15	0.62	0.0	0.02
act1	cla4	0.42	0.24	0.38	0.0	0.3
act1	nrp1	0.51	0.33	0.45	0.0	0.3
act1	rax1	0.22	0.13	0.47	0.0	0.04
rdi1	act1	0.26	0.14	0.62	0.0	0.05
act1	rga2	0.55	0.29	0.38	0.0	0.47
rho1	act1	0.26	0.15	0.62	0.0	0.04
act1	spa2	0.6	0.35	0.32	0.0	0.51
act1	ste5	0.62	0.48	0.39	0.0	0.32
arp2	arp2	0.48	0.43	0.66	0.0	0.0
arp2	arp3	0.46	0.39	0.6	0.0	0.05
arp2	axl2	0.46	0.27	0.39	0.0	0.32
arp2	bem1	0.4	0.27	0.44	0.0	0.2
arp2	bem3	0.48	0.27	0.35	0.0	0.39
arp2	bni1	0.51	0.31	0.31	0.0	0.39
arp2	bud1	0.32	0.17	0.55	0.0	0.14
bud3	arp2	0.48	0.27	0.41	0.0	0.36
arp2	cdc24	0.5	0.4	0.44	0.0	0.18
arp2	cdc28	0.21	0.13	0.54	0.0	0.0
cdc42	arp2	0.22	0.11	0.59	0.0	0.02
arp2	cla4	0.41	0.23	0.39	0.0	0.3
arp2	nrp1	0.46	0.28	0.4	0.0	0.3
arp2	rax1	0.31	0.24	0.49	0.0	0.04
rdi1	arp2	0.25	0.13	0.59	0.0	0.05
arp2	rga2	0.55	0.3	0.37	0.0	0.47
rho1	arp2	0.27	0.15	0.61	0.0	0.04
arp2	spa2	0.53	0.24	0.33	0.0	0.55
arp2	ste5	0.51	0.35	0.38	0.0	0.31
arp3	arp3	0.27	0.16	0.49	0.0	0.1
arp3	axl2	0.52	0.34	0.39	0.0	0.34
arp3	bem1	0.51	0.38	0.46	0.0	0.23
arp3	bem3	0.68	0.49	0.4	0.0	0.41
arp3	bni1	0.48	0.29	0.31	0.0	0.38
arp3	bud1	0.37	0.2	0.56	0.0	0.19
bud3	arp3	0.52	0.28	0.41	0.0	0.43
arp3	cdc24	0.36	0.23	0.43	0.0	0.2
arp3	cdc28	0.23	0.11	0.53	0.0	0.06
cdc42	arp3	0.36	0.23	0.63	0.0	0.09
arp3	cla4	0.69	0.57	0.4	0.0	0.31
arp3	nrp1	0.48	0.3	0.42	0.0	0.31
arp3	rax1	0.25	0.15	0.47	0.0	0.08
rdi1	arp3	0.58	0.48	0.69	0.0	0.12
arp3	rga2	0.64	0.42	0.41	0.0	0.45
rho1	arp3	0.36	0.23	0.62	0.0	0.11
arp3	spa2	0.81	0.59	0.34	0.0	0.53
arp3	ste5	0.82	0.71	0.42	0.0	0.33
axl2	axl2	0.44	0.17	0.31	0.0	0.49
axl2	bem1	0.45	0.22	0.34	0.0	0.4
bem3	axl2	0.5	0.23	0.31	0.0	0.51
bni1	axl2	0.44	0.2	0.3	0.0	0.44
axl2	bud1	0.5	0.26	0.38	0.0	0.44
bud3	axl2	0.62	0.38	0.4	0.0	0.47
axl2	cdc24	0.4	0.19	0.38	0.0	0.35
cdc28	axl2	0.47	0.28	0.38	0.0	0.35
cdc42	axl2	0.83	0.7	0.41	0.0	0.39
cla4	axl2	0.46	0.21	0.34	0.0	0.44
nrp1	axl2	0.66	0.43	0.45	0.0	0.46
axl2	rax1	0.53	0.37	0.37	0.0	0.31
rdi1	axl2	0.45	0.19	0.43	0.0	0.41
axl2	rga2	0.5	0.18	0.31	0.0	0.57
