Domain Accession	Domain name	Count	Proteins	Accession proteins	N_dl/N_pl / N_dy/N_py	N_d_list/N_p_list	N_d_yeast/N_p_yeast
IPR004000	Actin	2	['ACT1', 'ARP9']	['P60010', 'Q05123']	8.201212121212121	0.013333333333333334	0.00162577593851611
IPR001878	Znf_CCHC	6	['AIR1', 'AIR1', 'AIR1', 'AIR1', 'AIR1', 'MPE1']	['P40507', 'P40507', 'P40507', 'P40507', 'P40507', 'P35728']	10.8256	0.04	0.0036949453148093407
IPR006644	Cadg	4	['AXL2', 'AXL2', 'AXL2', 'AXL2']	['P38928', 'P38928', 'P38928', 'P38928']	45.10666666666666	0.02666666666666667	0.0005911912503694946
IPR000198	RhoGAP_dom	8	['BAG7', 'BEM2', 'BEM3', 'ECM25', 'RGA1', 'RGA2', 'RGD1', 'SAC7']	['Q12128', 'P39960', 'P32873', 'P32525', 'P39083', 'Q06407', 'P38339', 'P17121']	32.804848484848485	0.05333333333333334	0.00162577593851611
IPR000270	PB1_dom	2	['BEM1', 'CDC24']	['P29366', 'P11433']	45.10666666666666	0.013333333333333334	0.0002955956251847473
IPR001452	SH3_domain	10	['BEM1', 'BEM1', 'BOI1', 'BOI2', 'BZZ1', 'BZZ1', 'HSE1', 'LSB1', 'PIN3', 'SHO1']	['P29366', 'P29366', 'P38041', 'P39969', 'P38822', 'P38822', 'P38753', 'P53281', 'Q06449', 'P40073']	16.109523809523807	0.06666666666666667	0.004138338752586462
IPR001683	PX_dom	2	['BEM1', 'BEM3']	['P29366', 'P32873']	6.014222222222223	0.013333333333333334	0.0022169671888856044
IPR000651	Ras-like_Gua-exchang_fac_N	2	['BEM2', 'LTE1']	['P39960', 'P07866']	18.04266666666667	0.013333333333333334	0.0007389890629618681
IPR001849	PH_domain	8	['BEM2', 'BEM3', 'BOI1', 'BOI2', 'CDC24', 'CLA4', 'SKM1', 'SWH1']	['P39960', 'P32873', 'P38041', 'P39969', 'P11433', 'P48562', 'Q12469', 'P35845']	11.640430107526884	0.05333333333333334	0.004581732190363582
IPR001895	RASGEF_cat_dom	2	['BEM2', 'LTE1']	['P39960', 'P07866']	18.04266666666667	0.013333333333333334	0.0007389890629618681
IPR040144	RAP1GDS1	1	['BEM4']	['P39011']	45.10666666666666	0.006666666666666667	0.00014779781259237365
IPR039604	Bfr1	1	['BFR1']	['P38934']	45.10666666666666	0.006666666666666667	0.00014779781259237365
IPR023410	14-3-3_domain	2	['BMH1', 'BMH2']	['P29311', 'P34730']	45.10666666666666	0.013333333333333334	0.0002955956251847473
IPR010472	FH3_dom	1	['BNI1']	['P41832']	45.10666666666666	0.006666666666666667	0.00014779781259237365
IPR010473	GTPase-bd	1	['BNI1']	['P41832']	22.55333333333333	0.006666666666666667	0.0002955956251847473
IPR014767	DAD_dom	1	['BNI1']	['P41832']	22.55333333333333	0.006666666666666667	0.0002955956251847473
IPR015425	FH2_Formin	1	['BNI1']	['P41832']	22.55333333333333	0.006666666666666667	0.0002955956251847473
IPR001660	SAM	2	['BOI1', 'BOI2']	['P38041', 'P39969']	22.55333333333333	0.013333333333333334	0.0005911912503694946
IPR001841	Znf_RING	2	['BRE1', 'FAR1']	['Q07457', 'P21268']	2.505925925925926	0.013333333333333334	0.0053207212533254505
IPR013087	Znf_C2H2_type	10	['BRE1', 'FZF1', 'FZF1', 'FZF1', 'FZF1', 'FZF1', 'MIG2', 'MIG2', 'MIG3', 'MIG3']	['Q07457', 'P32805', 'P32805', 'P32805', 'P32805', 'P32805', 'P53035', 'P53035', 'P39943', 'P39943']	4.2155763239875395	0.06666666666666667	0.015814365947383977
IPR001060	FCH_dom	2	['BZZ1', 'RGD1']	['P38822', 'P38339']	22.55333333333333	0.013333333333333334	0.0005911912503694946
IPR031160	F_BAR	2	['BZZ1', 'RGD1']	['P38822', 'P38339']	22.55333333333333	0.013333333333333334	0.0005911912503694946
IPR002189	CapZ_alpha	1	['CAP1']	['P28495']	45.10666666666666	0.006666666666666667	0.00014779781259237365
IPR001698	CAPZB	1	['CAP2']	['P13517']	45.10666666666666	0.006666666666666667	0.00014779781259237365
IPR000719	Prot_kinase_dom	11	['CBK1', 'CLA4', 'GIN4', 'KIN1', 'MPS1', 'PKC1', 'SKM1', 'SLT2', 'SMK1', 'STE20', 'SWE1']	['P53894', 'P48562', 'Q12263', 'P13185', 'P54199', 'P24583', 'Q12469', 'Q00772', 'P41808', 'Q03497', 'P32944']	4.204858757062147	0.07333333333333333	0.01744014188590009
IPR000961	AGC-kinase_C	2	['CBK1', 'PKC1']	['P53894', 'P24583']	6.9394871794871795	0.013333333333333334	0.0019213715637008573
IPR002423	Cpn60/GroEL/TCP-1	3	['CCT2', 'CCT6', 'CCT7']	['P39076', 'P39079', 'P42943']	16.915	0.02	0.0011823825007389892
IPR030379	G_SEPTIN_dom	1	['CDC11']	['P32458']	6.443809523809524	0.006666666666666667	0.0010345846881466155
IPR000219	DH-domain	2	['CDC24', 'FUS2']	['P11433', 'Q05670']	15.035555555555556	0.013333333333333334	0.0008867868755542418
IPR001715	CH_dom	2	['CDC24', 'IQG1']	['P11433', 'Q12280']	11.276666666666666	0.013333333333333334	0.0011823825007389892
IPR013855	Cdc37_N_dom	1	['CDC37']	['P06101']	45.10666666666666	0.006666666666666667	0.00014779781259237365
IPR013873	Cdc37_C	1	['CDC37']	['P06101']	45.10666666666666	0.006666666666666667	0.00014779781259237365
IPR013874	Cdc37_Hsp90-bd	1	['CDC37']	['P06101']	45.10666666666666	0.006666666666666667	0.00014779781259237365
IPR005225	Small_GTP-bd	10	['CDC42', 'RAS1', 'RAS2', 'RHO1', 'RHO3', 'RHO4', 'RHO5', 'RSR1', 'SEC4', 'YPT7']	['P19073', 'P01119', 'P01120', 'P06780', 'Q00245', 'Q00246', 'P53879', 'P13856', 'P07560', 'P32939']	12.887619047619047	0.06666666666666667	0.005172923440733077
IPR041960	GGTase_I_beta	1	['CDC43']	['P18898']	45.10666666666666	0.006666666666666667	0.00014779781259237365
IPR015348	Clathrin_H-chain_linker_core	1	['CHC1']	['P22137']	45.10666666666666	0.006666666666666667	0.00014779781259237365
IPR007859	ETF-QO/FixX_C	1	['CIR2']	['Q08822']	45.10666666666666	0.006666666666666667	0.00014779781259237365
IPR049398	ETF-QO/FixC_UQ-bd	1	['CIR2']	['Q08822']	45.10666666666666	0.006666666666666667	0.00014779781259237365
IPR000095	CRIB_dom	5	['CLA4', 'GIC1', 'GIC2', 'SKM1', 'STE20']	['P48562', 'P38785', 'Q06648', 'Q12469', 'Q03497']	45.10666666666667	0.03333333333333333	0.0007389890629618681
IPR001373	Cullin_N	1	['CUL3']	['P53202']	15.035555555555556	0.006666666666666667	0.0004433934377771209
IPR019559	Cullin_neddylation_domain	1	['CUL3']	['P53202']	15.035555555555556	0.006666666666666667	0.0004433934377771209
IPR027357	DOCKER_dom	1	['DCK1']	['Q06409']	45.10666666666666	0.006666666666666667	0.00014779781259237365
IPR016900	Alg10	1	['DIE2']	['P50076']	45.10666666666666	0.006666666666666667	0.00014779781259237365
IPR001251	CRAL-TRIO_dom	1	['ECM25']	['P32525']	6.443809523809524	0.006666666666666667	0.0010345846881466155
IPR000261	EH_dom	3	['EDE1', 'EDE1', 'EDE1']	['P34216', 'P34216', 'P34216']	15.035555555555556	0.02	0.0013301803133313626
IPR015940	UBA	1	['EDE1']	['P34216']	5.638333333333333	0.006666666666666667	0.0011823825007389892
IPR037289	Elp2	1	['ELP2']	['P42935']	45.10666666666666	0.006666666666666667	0.00014779781259237365
IPR000182	GNAT_dom	1	['ELP3']	['Q02908']	3.0071111111111115	0.006666666666666667	0.0022169671888856044
IPR006638	Elp3/MiaA/NifB-like_rSAM	1	['ELP3']	['Q02908']	15.035555555555556	0.006666666666666667	0.0004433934377771209
IPR032432	Radical_SAM_C	1	['ELP3']	['Q02908']	45.10666666666666	0.006666666666666667	0.00014779781259237365
IPR008728	Elongator_complex_protein_4	1	['ELP4']	['Q02884']	45.10666666666666	0.006666666666666667	0.00014779781259237365
IPR018627	ELP6	1	['ELP6']	['Q04868']	45.10666666666666	0.006666666666666667	0.00014779781259237365
IPR013809	ENTH	1	['ENT2']	['Q05785']	9.021333333333335	0.006666666666666667	0.0007389890629618681
IPR000297	PPIase_PpiC	1	['ESS1']	['P22696']	45.10666666666666	0.006666666666666667	0.00014779781259237365
IPR001202	WW_dom	4	['ESS1', 'RSP5', 'RSP5', 'RSP5']	['P22696', 'P39940', 'P39940', 'P39940']	20.04740740740741	0.02666666666666667	0.0013301803133313626
IPR046364	Exo70_C	1	['EXO70']	['P19658']	45.10666666666666	0.006666666666666667	0.00014779781259237365
IPR012946	X8	1	['GAS1']	['P22146']	22.55333333333333	0.006666666666666667	0.0002955956251847473
IPR031850	Fungal_KA1_dom	1	['GIN4']	['Q12263']	22.55333333333333	0.006666666666666667	0.0002955956251847473
IPR001019	Gprotein_alpha_su	1	['GPA2']	['P10823']	22.55333333333333	0.006666666666666667	0.0002955956251847473
IPR039295	MSB2	2	['HKR1', 'MSB2']	['P41809', 'P32334']	45.10666666666666	0.013333333333333334	0.0002955956251847473
IPR003594	HATPase_dom	2	['HSC82', 'HSP82']	['P15108', 'P02829']	18.04266666666667	0.013333333333333334	0.0007389890629618681
IPR020575	Hsp90_N	2	['HSC82', 'HSP82']	['P15108', 'P02829']	45.10666666666666	0.013333333333333334	0.0002955956251847473
IPR002014	VHS_dom	1	['HSE1']	['P38753']	11.276666666666666	0.006666666666666667	0.0005911912503694946
IPR035075	PRMT5	1	['HSL7']	['P38274']	45.10666666666666	0.006666666666666667	0.00014779781259237365
IPR035247	PRMT5_TIM	1	['HSL7']	['P38274']	45.10666666666666	0.006666666666666667	0.00014779781259237365
IPR035248	PRMT5_C	1	['HSL7']	['P38274']	45.10666666666666	0.006666666666666667	0.00014779781259237365
IPR000300	IPPc	1	['INP54']	['Q08227']	11.276666666666666	0.006666666666666667	0.0005911912503694946
IPR000593	RasGAP_C	1	['IQG1']	['Q12280']	45.10666666666666	0.006666666666666667	0.00014779781259237365
IPR001936	RasGAP_dom	1	['IQG1']	['Q12280']	11.276666666666666	0.006666666666666667	0.0005911912503694946
IPR000648	Oxysterol-bd	1	['KES1']	['P35844']	11.276666666666666	0.006666666666666667	0.0005911912503694946
IPR001772	KA1_dom	1	['KIN1']	['P13185']	22.55333333333333	0.006666666666666667	0.0002955956251847473
IPR000697	WH1/EVH1_dom	1	['LAS17']	['Q12446']	45.10666666666666	0.006666666666666667	0.00014779781259237365
IPR003124	WH2_dom	1	['LAS17']	['Q12446']	15.035555555555556	0.006666666666666667	0.0004433934377771209
IPR002048	EF_hand_dom	3	['MLC1', 'MLC1', 'MLC2']	['P53141', 'P53141', 'Q06580']	7.122105263157895	0.02	0.002808158439255099
IPR014891	DWNN_domain	1	['MPE1']	['P35728']	45.10666666666666	0.006666666666666667	0.00014779781259237365
IPR012965	Msb1/Mug8_dom	1	['MSB1']	['P21339']	45.10666666666666	0.006666666666666667	0.00014779781259237365
IPR000195	Rab-GAP-TBC_dom	2	['MSB3', 'MSB4']	['P48566', 'Q12317']	8.201212121212121	0.013333333333333334	0.00162577593851611
IPR001609	Myosin_head_motor_dom	2	['MYO1', 'MYO2']	['P08964', 'P19524']	18.04266666666667	0.013333333333333334	0.0007389890629618681
IPR004009	Myosin_N	2	['MYO1', 'MYO2']	['P08964', 'P19524']	30.07111111111111	0.013333333333333334	0.0004433934377771209
IPR002710	Dilute_dom	1	['MYO2']	['P19524']	15.035555555555556	0.006666666666666667	0.0004433934377771209
IPR046943	Fungal_Myo2/2A_CBD	1	['MYO2']	['P19524']	45.10666666666666	0.006666666666666667	0.00014779781259237365
IPR000504	RRM_dom	4	['NAB3', 'NOP13', 'NOP13', 'NRD1']	['P38996', 'P53883', 'P53883', 'P53617']	1.804266666666667	0.02666666666666667	0.014779781259237363
IPR006569	CID_dom	1	['NRD1']	['P53617']	15.035555555555556	0.006666666666666667	0.0004433934377771209
IPR048892	Nrd1_Seb1_dom2	1	['NRD1']	['P53617']	45.10666666666666	0.006666666666666667	0.00014779781259237365
IPR003439	ABC_transporter-like_ATP-bd	1	['PAT1']	['P34230']	0.8510691823899372	0.006666666666666667	0.007833284067395802
IPR011527	ABC1_TM_dom	1	['PAT1']	['P34230']	2.374035087719298	0.006666666666666667	0.002808158439255099
IPR000717	PCI_dom	3	['PCI8', 'RPG1', 'THP3']	['P40512', 'P38249', 'Q12049']	9.665714285714285	0.02	0.002069169376293231
IPR000008	C2_dom	2	['PKC1', 'RSP5']	['P24583', 'P39940']	4.100606060606061	0.013333333333333334	0.00325155187703222
IPR002219	PE/DAG-bd	2	['PKC1', 'PKC1']	['P24583', 'P24583']	45.10666666666666	0.013333333333333334	0.0002955956251847473
IPR011072	HR1_rho-bd	2	['PKC1', 'PKC1']	['P24583', 'P24583']	45.10666666666666	0.013333333333333334	0.0002955956251847473
IPR004014	ATPase_P-typ_cation-transptr_N	1	['PMR1']	['P13586']	6.443809523809524	0.006666666666666667	0.0010345846881466155
IPR006068	ATPase_P-typ_cation-transptr_C	1	['PMR1']	['P13586']	9.021333333333335	0.006666666666666667	0.0007389890629618681
IPR044492	P_typ_ATPase_HD_dom	1	['PMR1']	['P13586']	3.0071111111111115	0.006666666666666667	0.0022169671888856044
IPR000406	Rho_GDI	1	['RDI1']	['Q12434']	45.10666666666666	0.006666666666666667	0.00014779781259237365
IPR001781	Znf_LIM	4	['RGA1', 'RGA1', 'RGA2', 'RGA2']	['P39083', 'P39083', 'Q06407', 'Q06407']	20.04740740740741	0.02666666666666667	0.0013301803133313626
IPR054711	eIF3a_PCI_TPR-like	1	['RPG1']	['P38249']	45.10666666666666	0.006666666666666667	0.00014779781259237365
IPR001025	BAH_dom	1	['RSC2']	['Q06488']	9.021333333333335	0.006666666666666667	0.0007389890629618681
IPR001487	Bromodomain	2	['RSC2', 'RSC2']	['Q06488', 'Q06488']	5.638333333333333	0.013333333333333334	0.0023647650014779783
IPR000569	HECT_dom	1	['RSP5']	['P39940']	9.021333333333335	0.006666666666666667	0.0007389890629618681
IPR051973	tRNA_Anticodon_Mtase-Reg	1	['RTT10']	['Q08924']	45.10666666666666	0.006666666666666667	0.00014779781259237365
IPR004148	BAR_dom	1	['RVS161']	['P25343']	15.035555555555556	0.006666666666666667	0.0004433934377771209
IPR048625	Sec10_N	1	['SEC10']	['Q06245']	45.10666666666666	0.006666666666666667	0.00014779781259237365
IPR048627	Sec10_HB	1	['SEC10']	['Q06245']	22.55333333333333	0.006666666666666667	0.0002955956251847473
IPR046361	EXOC6/Sec15_C	1	['SEC15']	['P22224']	45.10666666666666	0.006666666666666667	0.00014779781259237365
IPR048359	EXOC6_Sec15_N	1	['SEC15']	['P22224']	45.10666666666666	0.006666666666666667	0.00014779781259237365
IPR009449	Sec2_N	1	['SEC2']	['P17065']	45.10666666666666	0.006666666666666667	0.00014779781259237365
IPR019160	Sec3_CC	1	['SEC3']	['P33332']	45.10666666666666	0.006666666666666667	0.00014779781259237365
IPR028258	Sec3-PIP2_bind	1	['SEC3']	['P33332']	45.10666666666666	0.006666666666666667	0.00014779781259237365
IPR048628	Sec3_C	1	['SEC3']	['P33332']	45.10666666666666	0.006666666666666667	0.00014779781259237365
IPR039481	EXOC2/Sec5_N_dom	1	['SEC5']	['P89102']	45.10666666666666	0.006666666666666667	0.00014779781259237365
IPR018624	Sec66	1	['SEC66']	['P33754']	45.10666666666666	0.006666666666666667	0.00014779781259237365
IPR007191	Sec8_exocyst_N	1	['SEC8']	['P32855']	45.10666666666666	0.006666666666666667	0.00014779781259237365
IPR048630	Sec8_M	1	['SEC8']	['P32855']	45.10666666666666	0.006666666666666667	0.00014779781259237365
IPR000727	T_SNARE_dom	3	['SEC9', 'SEC9', 'SPO20']	['P40357', 'P40357', 'Q04359']	7.96	0.02	0.002512562814070352
IPR001623	DnaJ_domain	1	['SIS1']	['P25294']	2.147936507936508	0.006666666666666667	0.0031037540644398465
IPR002939	DnaJ_C	1	['SIS1']	['P25294']	7.517777777777778	0.006666666666666667	0.0008867868755542418
IPR018958	Knr4/Smi1-like_dom	1	['SMI1']	['P32566']	45.10666666666666	0.006666666666666667	0.00014779781259237365
IPR001752	Kinesin_motor_dom	1	['SMY1']	['P32364']	7.517777777777778	0.006666666666666667	0.0008867868755542418
IPR013724	GIT_SHD	4	['SPA2', 'SPA2', 'SPA2', 'SPA2']	['P23201', 'P23201', 'P23201', 'P23201']	30.07111111111111	0.02666666666666667	0.0008867868755542418
IPR022018	GIT1_C	1	['SPA2']	['P23201']	45.10666666666666	0.006666666666666667	0.00014779781259237365
IPR013905	Lgl_C_dom	1	['SRO7']	['Q12038']	22.55333333333333	0.006666666666666667	0.0002955956251847473
IPR042050	BIP_NBD	1	['SSD1']	['P16474']	45.10666666666666	0.006666666666666667	0.00014779781259237365
IPR015898	G-protein_gamma-like_dom	1	['STE18']	['P18852']	45.10666666666666	0.006666666666666667	0.00014779781259237365
IPR001632	Gprotein_B	4	['STE4', 'STE4', 'STE4', 'STE4']	['P18851', 'P18851', 'P18851', 'P18851']	45.10666666666666	0.02666666666666667	0.0005911912503694946
IPR021106	Ste5_Fus3-bd_dom	1	['STE5']	['P32917']	45.10666666666666	0.006666666666666667	0.00014779781259237365
IPR021651	Ste5_Fus-binding	1	['STE5']	['P32917']	45.10666666666666	0.006666666666666667	0.00014779781259237365
IPR000159	RA_dom	1	['STE50']	['P25344']	22.55333333333333	0.006666666666666667	0.0002955956251847473
IPR015316	SAM_Ste50	1	['STE50']	['P25344']	45.10666666666666	0.006666666666666667	0.00014779781259237365
IPR001650	Helicase_C-like	1	['SUB2']	['Q07478']	0.5709704641350212	0.006666666666666667	0.011676027194797517
IPR011545	DEAD/DEAH_box_helicase_dom	1	['SUB2']	['Q07478']	0.7777011494252873	0.006666666666666667	0.008572273130357671
IPR014014	RNA_helicase_DEAD_Q_motif	1	['SUB2']	['Q07478']	2.2553333333333336	0.006666666666666667	0.0029559562518474726
IPR009571	SUR7/Rim9-like_fungi	1	['SUR7']	['P54003']	4.510666666666667	0.006666666666666667	0.0014779781259237363
IPR001594	Palmitoyltrfase_DHHC	1	['SWF1']	['Q04629']	6.443809523809524	0.006666666666666667	0.0010345846881466155
IPR003163	Tscrpt_reg_HTH_APSES-type	1	['SWI4']	['P25302']	9.021333333333335	0.006666666666666667	0.0007389890629618681
IPR005062	SAC3/GANP/THP3_conserved	1	['THP3']	['Q12049']	22.55333333333333	0.006666666666666667	0.0002955956251847473
IPR014805	SKG6/TOS2-like	2	['TOS2', 'TOS2']	['P50078', 'P50078']	30.07111111111111	0.013333333333333334	0.0004433934377771209
IPR000533	Tropomyosin	3	['TPM1', 'TPM1', 'TPM2']	['P17536', 'P17536', 'P40414']	45.10666666666667	0.02	0.0004433934377771209
IPR003008	Tubulin_FtsZ_GTPase	3	['TUB1', 'TUB2', 'TUB3']	['P09733', 'P02557', 'P09734']	33.83	0.02	0.0005911912503694946
IPR018316	Tubulin/FtsZ_2-layer-sand-dom	3	['TUB1', 'TUB2', 'TUB3']	['P09733', 'P02557', 'P09734']	33.83	0.02	0.0005911912503694946
IPR002108	ADF-H	2	['TWF1', 'TWF1']	['P53250', 'P53250']	18.04266666666667	0.013333333333333334	0.0007389890629618681
IPR000594	ThiF_NAD_FAD-bd	1	['UBA4']	['P38820']	5.011851851851852	0.006666666666666667	0.0013301803133313626
